Time	Fluo2	mtRCamp
0	53.281	49.375
0.01	55.54272	42.2507
0.02	57.4323	35.72124
0.03	54.02395	37.65986
0.04	52.0427	39.46696
0.05	59.50612	40.4037
0.06	63.65505	41.26736
0.07	54.28506	41.83292
0.08	49.77563	41.20237
0.09	58.9197	37.21192
0.1	63.09081	36.2382
0.11	57.08109	41.44041
0.12	53.13894	43.07977
0.13	52.37952	39.23458
0.14	52.48844	41.97296
0.15	53.61904	52.45753
0.16	52.9261	57.06404
0.17	50.58373	56.35373
0.18	50.81778	50.79535
0.19	52.83705	41.8777
0.2	49.89437	43.86011
0.21	44.35354	51.54996
0.22	44.34064	48.71917
0.23	46.45657	41.83681
0.24	48.20403	38.88642
0.25	49.85212	36.99639
0.26	47.5714	36.36039
0.27	44.61487	35.9401
0.28	48.05642	36.21809
0.29	52.0629	36.55774
0.3	46.65376	35.60871
0.31	41.61069	35.05973
0.32	46.31197	42.47456
0.33	50.32124	48.57466
0.34	49.04485	44.63281
0.35	47.61317	41.64926
0.36	45.48069	42.99027
0.37	44.5295	45.42075
0.38	47.17895	51.17198
0.39	49.35867	54.08955
0.4	50.50582	50.77787
0.41	49.74618	46.6716
0.42	45.85291	41.25949
0.43	44.9429	39.44775
0.44	47.76966	42.14579
0.45	46.8676	48.87744
0.46	42.37672	59.49125
0.47	41.88145	55.51607
0.48	44.33704	40.76654
0.49	47.0825	35.9762
0.5	49.99043	36.76768
0.51	47.06618	39.95608
0.52	41.71869	44.14039
0.53	38.14263	40.69099
0.54	35.08943	34.98835
0.55	38.54584	22.61326
0.56	43.26315	8.94574
0.57	49.57109	11.4923
0.58	56.04918	15.77329
0.59	48.28206	12.18052
0.6	40.65004	8.48409
0.61	49.48652	8.91989
0.62	57.03368	9.521
0.63	53.01117	11.6054
0.64	49.66406	13.25283
0.65	49.71266	12.7033
0.66	50.12405	12.20619
0.67	51.73956	11.88309
0.68	52.18845	11.13275
0.69	49.87813	9.37197
0.7	48.25371	8.3087
0.71	47.83393	8.47051
0.72	43.27504	8.16831
0.73	33.19422	7.24708
0.74	33.92871	9.1676
0.75	45.73826	13.99812
0.76	51.49846	13.37622
0.77	52.49982	8.46505
0.78	51.70313	7.19073
0.79	49.82913	8.09542
0.8	48.12266	9.01118
0.81	46.49112	9.9319
0.82	40.33687	12.0753
0.83	32.72766	14.61205
0.84	41.81589	13.36231
0.85	54.51411	11.29393
0.86	45.51007	11.04777
0.87	33.76514	11.03175
0.88	37.36254	10.98516
0.89	41.62036	10.91759
0.9	41.3779	9.8511
0.91	40.889	8.99551
0.92	37.73913	10.41716
0.93	36.01297	11.05889
0.94	42.32925	7.29487
0.95	47.33338	4.46964
0.96	47.57584	5.05123
0.97	46.59879	6.25166
0.98	42.51167	9.03035
0.99	38.90697	10.00231
1	36.20893	7.57877
1.01	33.65776	6.83655
1.02	31.31539	8.48463
1.03	33.95199	8.48576
1.04	42.01354	6.69241
1.05	43.5164	7.08839
1.06	39.52594	9.31806
1.07	39.77199	11.57705
1.08	42.72851	13.85479
1.09	42.14911	13.55725
1.1	39.87084	12.02238
1.11	35.59344	8.40447
1.12	30.61765	4.05886
1.13	29.81239	4.82215
1.14	30.00626	6.80937
1.15	35.45723	7.16131
1.16	41.67735	7.27401
1.17	41.89619	7.25094
1.18	41.68994	7.22305
1.19	33.69301	8.33763
1.2	27.10604	9.28437
1.21	39.4646	7.97593
1.22	49.97733	6.64134
1.23	48.65287	5.13904
1.24	46.88449	4.77056
1.25	43.34638	8.92231
1.26	40.60814	11.54327
1.27	40.07514	9.94378
1.28	40.38899	9.41103
1.29	42.40826	11.02654
1.3	41.03108	11.58908
1.31	34.50439	10.55515
1.32	33.61078	10.04501
1.33	39.2488	10.14219
1.34	41.21423	8.91515
1.35	39.90579	6.50765
1.36	37.349	5.77127
